,Date,short-liquidations-usd
407,16 Nov '19,"2,331,193.121025"
408,16 Nov '19,"2,331,193.121025"
409,17 Nov '19,"8,699,621.872949999"
410,18 Nov '19,"2,082,965.043175"
411,18 Nov '19,"2,082,965.043175"
412,19 Nov '19,"4,163,654.1223000004"
413,19 Nov '19,"4,163,654.1223000004"
414,20 Nov '19,"8,075,114.5192"
415,21 Nov '19,"5,374,644.351899999"
416,21 Nov '19,"5,374,644.351899999"
417,22 Nov '19,"25,606,800.22556466"
418,23 Nov '19,"4,694,488.7001"
419,23 Nov '19,"4,694,488.7001"
420,24 Nov '19,"9,857,177.26626719"
421,24 Nov '19,"9,857,177.26626719"
422,25 Nov '19,"37,439,148.10598676"
423,26 Nov '19,"8,610,458.004412098"
424,26 Nov '19,"8,610,458.004412098"
425,27 Nov '19,"44,061,449.96893"
426,27 Nov '19,"44,061,449.96893"
427,28 Nov '19,"5,354,645.167225"
428,29 Nov '19,"25,266,436.344329417"
429,29 Nov '19,"25,266,436.344329417"
430,30 Nov '19,"2,246,369.85525"
431,01 Dec '19,"3,284,332.970725"
432,01 Dec '19,"3,284,332.970725"
433,02 Dec '19,"3,997,922.3507749997"
434,02 Dec '19,"3,997,922.3507749997"
435,03 Dec '19,"3,076,153.77195"
436,04 Dec '19,"85,017,192.41368629"
437,04 Dec '19,"85,017,192.41368629"
438,05 Dec '19,"21,631,473.733519997"
439,06 Dec '19,"28,303,360.55092"
440,06 Dec '19,"28,303,360.55092"
441,07 Dec '19,"4,402,642.421715"
442,07 Dec '19,"4,402,642.421715"
443,08 Dec '19,"3,360,368.0265749996"
444,09 Dec '19,"15,689,251.55436682"
445,09 Dec '19,"15,689,251.55436682"
446,10 Dec '19,"2,106,084.79129"
447,11 Dec '19,"1,721,182.9739899999"
448,11 Dec '19,"1,721,182.9739899999"
449,12 Dec '19,"18,131,732.93807016"
450,12 Dec '19,"18,131,732.93807016"
451,13 Dec '19,"1,993,738.2380199998"
452,14 Dec '19,"881,274.3682499999"
453,14 Dec '19,"881,274.3682499999"
454,15 Dec '19,"15,487,479.974109998"
455,15 Dec '19,"15,487,479.974109998"
456,16 Dec '19,"4,091,676.2689900002"
457,17 Dec '19,"8,715,027.662104998"
458,17 Dec '19,"8,715,027.662104998"
459,18 Dec '19,"104,310,730.01948"
460,19 Dec '19,"4,560,367.293725"
461,19 Dec '19,"4,560,367.293725"
462,20 Dec '19,"5,145,124.92771"
463,20 Dec '19,"5,145,124.92771"
464,21 Dec '19,"573,450.784395"
465,22 Dec '19,"44,491,827.69324"
466,22 Dec '19,"44,491,827.69324"
467,23 Dec '19,"34,989,591.70167"
468,24 Dec '19,"5,550,561.76683"
469,24 Dec '19,"5,550,561.76683"
470,25 Dec '19,"3,126,133.30436534"
471,25 Dec '19,"3,126,133.30436534"
472,26 Dec '19,"14,682,138.572705"
473,27 Dec '19,"6,884,147.360830001"
474,27 Dec '19,"6,884,147.360830001"
475,28 Dec '19,"6,955,106.013939999"
476,28 Dec '19,"6,955,106.013939999"
477,29 Dec '19,"20,557,528.074055"
478,30 Dec '19,"1,181,596.2562850001"
479,30 Dec '19,"1,181,596.2562850001"
480,31 Dec '19,"4,777,167.499365001"
481,01 Jan '20,"1,646,035.7448250002"
482,01 Jan '20,"1,646,035.7448250002"
483,02 Jan '20,"1,111,588.7467200002"
484,02 Jan '20,"1,111,588.7467200002"
485,03 Jan '20,"54,748,712.29776273"
486,04 Jan '20,"4,890,047.713079999"
487,04 Jan '20,"4,890,047.713079999"
488,05 Jan '20,"11,175,800.856765"
489,06 Jan '20,"54,498,094.80387"
490,06 Jan '20,"54,498,094.80387"
491,07 Jan '20,"67,300,474.0888133"
492,07 Jan '20,"67,300,474.0888133"
493,08 Jan '20,"39,055,238.93458869"
494,09 Jan '20,"8,561,142.35684"
495,09 Jan '20,"8,561,142.35684"
496,10 Jan '20,"36,609,535.88119561"
497,11 Jan '20,"20,959,603.00767"
498,11 Jan '20,"20,959,603.00767"
499,12 Jan '20,"4,896,321.200855"
500,12 Jan '20,"4,896,321.200855"
501,13 Jan '20,"1,175,033.0425899997"
502,14 Jan '20,"126,199,543.2317081"
503,14 Jan '20,"126,199,543.2317081"
504,15 Jan '20,"15,526,103.27851"
505,15 Jan '20,"15,526,103.27851"
506,16 Jan '20,"6,713,151.56921"
507,17 Jan '20,"33,061,667.19997709"
508,17 Jan '20,"33,061,667.19997709"
509,18 Jan '20,"2,351,142.91476"
510,19 Jan '20,"41,724,478.04469033"
511,19 Jan '20,"41,724,478.04469033"
512,20 Jan '20,"7,021,530.131415"
513,20 Jan '20,"7,021,530.131415"
514,21 Jan '20,"7,170,716.111075"
515,22 Jan '20,"2,918,935.2093"
516,22 Jan '20,"2,918,935.2093"
517,23 Jan '20,"4,363,073.13946027"
518,24 Jan '20,"14,414,088.51959"
519,24 Jan '20,"14,414,088.51959"
520,25 Jan '20,"3,635,370.8140650005"
521,25 Jan '20,"3,635,370.8140650005"
522,26 Jan '20,"24,895,418.959578604"
523,27 Jan '20,"60,789,523.66370684"
524,27 Jan '20,"60,789,523.66370684"
525,28 Jan '20,"101,034,270.87181655"
526,29 Jan '20,"10,150,119.254885001"
527,29 Jan '20,"10,150,119.254885001"
528,30 Jan '20,"29,387,869.807805"
529,30 Jan '20,"29,387,869.807805"
530,31 Jan '20,"3,545,218.74118"
531,01 Feb '20,"3,740,163.659765"
532,01 Feb '20,"3,740,163.659765"
533,02 Feb '20,"6,857,995.024053501"
534,02 Feb '20,"6,857,995.024053501"
535,03 Feb '20,"20,395,317.854075573"
536,04 Feb '20,"4,461,305.196494999"
537,04 Feb '20,"4,461,305.196494999"
538,05 Feb '20,"73,282,929.06724721"
539,06 Feb '20,"15,048,024.002895001"
540,06 Feb '20,"15,048,024.002895001"
541,07 Feb '20,"5,621,542.313606"
542,07 Feb '20,"5,621,542.313606"
543,08 Feb '20,"12,650,804.14957839"
544,09 Feb '20,"56,018,551.84196"
545,09 Feb '20,"56,018,551.84196"
546,10 Feb '20,"5,034,869.759475"
547,11 Feb '20,"83,619,297.62233"
548,11 Feb '20,"83,619,297.62233"
549,12 Feb '20,"24,125,934.54094643"
550,12 Feb '20,"24,125,934.54094643"
551,13 Feb '20,"17,023,569.358459998"
552,14 Feb '20,"6,558,720.59885"
553,14 Feb '20,"6,558,720.59885"
554,15 Feb '20,"1,695,796.370063"
555,16 Feb '20,"12,580,357.35838975"
556,16 Feb '20,"12,580,357.35838975"
557,17 Feb '20,"6,055,889.44728"
558,17 Feb '20,"6,055,889.44728"
559,18 Feb '20,"38,181,200.96746"
560,19 Feb '20,"11,991,526.37777528"
561,19 Feb '20,"11,991,526.37777528"
562,20 Feb '20,"5,604,082.041595001"
563,20 Feb '20,"5,604,082.041595001"
564,21 Feb '20,"5,295,617.832665"
565,22 Feb '20,"1,672,482.6744000001"
566,22 Feb '20,"1,672,482.6744000001"
567,23 Feb '20,"32,423,473.42738"
568,24 Feb '20,"6,018,730.351955"
569,24 Feb '20,"6,018,730.351955"
570,25 Feb '20,"7,420,391.607205001"
571,25 Feb '20,"7,420,391.607205001"
572,26 Feb '20,"11,084,222.105984999"
573,27 Feb '20,"20,129,276.101944998"
574,27 Feb '20,"20,129,276.101944998"
575,28 Feb '20,"24,852,119.676405"
576,29 Feb '20,"1,680,518.03326"
577,29 Feb '20,"1,680,518.03326"
578,01 Mar '20,"12,322,158.125640001"
579,01 Mar '20,"12,322,158.125640001"
580,02 Mar '20,"19,694,515.254334997"
581,03 Mar '20,"6,115,698.352065001"
582,03 Mar '20,"6,115,698.352065001"
583,04 Mar '20,"1,662,816.3019849998"
584,05 Mar '20,"28,565,317.566077948"
585,05 Mar '20,"28,565,317.566077948"
586,06 Mar '20,"4,909,694.176190001"
587,06 Mar '20,"4,909,694.176190001"
588,07 Mar '20,"6,586,985.23376376"
589,08 Mar '20,"7,337,547.0714501105"
590,08 Mar '20,"7,337,547.0714501105"
591,09 Mar '20,"29,876,069.846024826"
592,09 Mar '20,"29,876,069.846024826"
593,10 Mar '20,"22,059,983.324585002"
594,11 Mar '20,"16,981,113.708574995"
595,11 Mar '20,"16,981,113.708574995"
596,12 Mar '20,"89,474,507.02482918"
597,13 Mar '20,"127,471,684.67168295"
598,13 Mar '20,"127,471,684.67168295"
599,14 Mar '20,"21,656,465.27465"
600,14 Mar '20,"21,656,465.27465"
601,15 Mar '20,"55,112,977.20070823"
602,16 Mar '20,"70,684,742.33477145"
603,16 Mar '20,"70,684,742.33477145"
604,17 Mar '20,"43,597,210.91333992"
605,18 Mar '20,"29,519,830.24172442"
606,18 Mar '20,"29,519,830.24172442"
607,19 Mar '20,"98,764,000.57981393"
608,19 Mar '20,"98,764,000.57981393"
609,20 Mar '20,"66,769,081.04757613"
610,21 Mar '20,"27,699,492.919645"
611,21 Mar '20,"27,699,492.919645"
612,22 Mar '20,"18,538,602.393880364"
613,23 Mar '20,"58,877,134.73342074"
614,23 Mar '20,"58,877,134.73342074"
615,24 Mar '20,"36,035,006.60158312"
616,24 Mar '20,"36,035,006.60158312"
617,25 Mar '20,"25,595,609.089824997"
618,26 Mar '20,"10,916,920.004755"
