,Date,long-liquidations-usd,Unnamed: 2,Unnamed: 3,Unnamed: 4
712,2021-02-22,1443519162.0,,,
713,2021-02-23,826596083.2,,,
714,2021-02-24,188417912.9,,,
715,2021-02-25,298043048.9,,,
716,2021-02-26,413869499.6,,,
717,2021-02-27,116454368.9,,,
718,2021-02-28,280043888.7,,,
719,2021-03-01,76130635.48,,,
720,2021-03-02,182771903.6,,,
721,2021-03-03,120400576.4,,,
722,2021-03-04,380328192.7,,,
723,2021-03-05,230778221.8,,,
724,2021-03-06,94741808.07,,,
725,2021-03-07,72619203.23,,,
726,2021-03-08,152162578.3,,,
727,2021-03-09,88647698.44,,,
728,2021-03-10,279745170.3,,,
729,2021-03-11,297140197.6,,,
730,2021-03-12,315516601.5,,,
731,2021-03-13,146842722.6,,,
732,2021-03-14,238558936.7,,,
733,2021-03-15,1371010877.0,,,
734,2021-03-16,428714838.5,,,
735,2021-03-17,186125636.5,,,
736,2021-03-18,239282062.8,,,
737,2021-03-19,185839190.0,,,
738,2021-03-20,122701548.6,,,
739,2021-03-21,414067553.6,,,
740,2021-03-22,576960202.2,,,
741,2021-03-23,246808002.2,,,
742,2021-03-24,566528979.4,,,
743,2021-03-25,386127450.4,,,
744,2021-03-26,57555387.33,,,
745,2021-03-27,90125492.47,,,
746,2021-03-28,113493277.5,,,
747,2021-03-29,90853970.29,,,
748,2021-03-30,56240221.07,,,
749,2021-03-31,344895491.0,,,
750,2021-04-01,104012871.4,,,
751,2021-04-02,119552149.8,,,
752,2021-04-03,317048917.3,,,
753,2021-04-04,134849424.3,,,
754,2021-04-05,89540204.73,,,
755,2021-04-06,108575790.4,,,
756,2021-04-07,430175073.0,,,
757,2021-04-08,27812811.46,,,
758,2021-04-09,36496561.55,,,
759,2021-04-10,205708667.6,,,
760,2021-04-11,43223176.22,,,
761,2021-04-12,93140032.39,,,
762,2021-04-13,53934765.4,,,
763,2021-04-14,348482494.9,,,
764,2021-04-15,47170512.43,,,
765,2021-04-16,328371260.1,,,
766,2021-04-17,185429142.3,,,
767,2021-04-18,2354897405.0,,,
768,2021-04-20,153410842.8,,,
